Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2009,Audi,ADX,AUDI,A6 QUATTRO,93UF-CAQ,1,2.995,9ADXV03.03UF,Car,300,6,CCAA,A,Automatic,6,Y,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4500,2.86,27.0,1,Not eqipped,9ADX10001319,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0113000,0.3400000,252.0000000,0.0030000,,,,35.0,MPG,,,,,38.900,0.47400,0.017400,9.500,0.34000,0.017600,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,A6 QUATTRO,93UF-CAQ,1,2.995,9ADXV03.03UF,Car,300,6,CCAA,A,Automatic,6,Y,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4500,2.86,27.0,1,Not eqipped,9ADX10001322,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0497000,0.9600000,468.0000000,0.0060000,,,,18.8,MPG,,,,,38.900,0.47400,0.017400,9.500,0.34000,0.017600,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,A6 QUATTRO,93UF-CAQ,1,2.995,9ADXV03.03UF,Car,300,6,CCAA,A,Automatic,6,Y,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4500,2.86,27.0,1,Not eqipped,9ADX10001323,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0338000,0.4500000,403.0000000,0.0220000,,,,21.9,MPG,20.5000000,21.2000000,24.8000000,,38.900,0.47400,0.017400,9.500,0.34000,0.017600,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,Audi,Q5,93UC-Q5A,0,3.179,9ADXT03.23UC,Truck,270,6,CALB,A,Automatic,6,Y,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4500,4.22,35.2,1,Not eqipped,9ADX10000643,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0007000,0.2600000,287.0000000,0.0050000,,0.0000010,0.01,30.7,MPG,,,,,33.000,0.29000,0.017100,5.000,0.15000,0.017200,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,Audi,Q5,93UC-Q5A,0,3.179,9ADXT03.23UC,Truck,270,6,CALB,A,Automatic,6,Y,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4500,4.22,35.2,1,Not eqipped,9ADX10000646,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.6673000,1.3300000,467.0000000,0.0570000,,,,18.8,MPG,15.5000000,18.8000000,22.1000000,,33.000,0.29000,0.017100,5.000,0.15000,0.017200,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,Audi,Q5,93UC-Q5A,0,3.179,9ADXT03.23UC,Truck,270,6,CALB,A,Automatic,6,Y,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4500,4.22,35.2,1,Not eqipped,9ADX10001141,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0267000,0.2600000,389.0000000,0.0320000,,0.0032000,0.01,22.7,MPG,21.3000000,22.4000000,24.4000000,,33.000,0.29000,0.017100,5.000,0.15000,0.017200,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,Audi,Q5,93UC-Q5A,0,3.179,9ADXT03.23UC,Truck,270,6,CALB,A,Automatic,6,Y,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4500,4.22,35.2,1,Not eqipped,9ADX10001384,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0062000,0.2300000,475.0000000,0.0570000,,,,18.6,MPG,,,,,33.000,0.29000,0.017100,5.000,0.15000,0.017200,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,Audi,Q5,93UC-Q5A,0,3.179,9ADXT03.23UC,Truck,270,6,CALB,A,Automatic,6,Y,F,"2-Wheel Drive, Front",2,Top gear ration < 1,4500,4.22,35.2,1,Not eqipped,9ADX10001385,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0106000,0.8800000,411.0000000,0.0120000,,,,21.4,MPG,14.4000000,24.9000000,,,33.000,0.29000,0.017100,5.000,0.15000,0.017200,TWC,Three-way catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.90,32.4,1,Not eqipped,9ADX10001340,MFR,No,,,,,90,US06,19,Federal Cert Diesel 7-15 PPM Sulfur,US06,0.0005000,0.0060000,438.0000000,0.2086000,0.0020000,,,23.2,MPG,15.8000000,26.9000000,,,58.000,0.43400,0.027200,-2.000,-0.07400,0.028700,OC,Oxidation catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.90,32.4,1,Not eqipped,9ADX10001340,MFR,No,,,,,90,US06,19,Federal Cert Diesel 7-15 PPM Sulfur,US06,0.0005000,0.0060000,438.0000000,0.2086000,0.0020000,,,23.2,MPG,15.8000000,26.9000000,,,58.000,0.43400,0.027200,-2.000,-0.07400,0.028700,SCR,Selective Catalytic Reduction,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.90,32.4,1,Not eqipped,9ADX10001340,MFR,No,,,,,90,US06,19,Federal Cert Diesel 7-15 PPM Sulfur,US06,0.0005000,0.0060000,438.0000000,0.2086000,0.0020000,,,23.2,MPG,15.8000000,26.9000000,,,58.000,0.43400,0.027200,-2.000,-0.07400,0.028700,DPF,Diesel Particulate Filter,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.90,32.4,1,Not eqipped,9ADX10001341,MFR,No,,,,,95,SC03,19,Federal Cert Diesel 7-15 PPM Sulfur,SC03,0.0069000,0.0050000,536.0000000,0.0742000,0.0030000,,,19.0,MPG,19.0000000,,,,58.000,0.43400,0.027200,-2.000,-0.07400,0.028700,OC,Oxidation catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.90,32.4,1,Not eqipped,9ADX10001341,MFR,No,,,,,95,SC03,19,Federal Cert Diesel 7-15 PPM Sulfur,SC03,0.0069000,0.0050000,536.0000000,0.0742000,0.0030000,,,19.0,MPG,19.0000000,,,,58.000,0.43400,0.027200,-2.000,-0.07400,0.028700,SCR,Selective Catalytic Reduction,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.90,32.4,1,Not eqipped,9ADX10001341,MFR,No,,,,,95,SC03,19,Federal Cert Diesel 7-15 PPM Sulfur,SC03,0.0069000,0.0050000,536.0000000,0.0742000,0.0030000,,,19.0,MPG,19.0000000,,,,58.000,0.43400,0.027200,-2.000,-0.07400,0.028700,DPF,Diesel Particulate Filter,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.90,32.4,1,Not eqipped,9ADX10002091,MFR,No,,,,,11,Cold CO,19,Federal Cert Diesel 7-15 PPM Sulfur,FTP,0.0270000,0.1800000,547.0000000,,,,,18.6,MPG,15.5000000,18.8000000,21.3000000,,58.000,0.43400,0.027200,-2.000,-0.07400,0.028700,DPF,Diesel Particulate Filter,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.90,32.4,1,Not eqipped,9ADX10002091,MFR,No,,,,,11,Cold CO,19,Federal Cert Diesel 7-15 PPM Sulfur,FTP,0.0270000,0.1800000,547.0000000,,,,,18.6,MPG,15.5000000,18.8000000,21.3000000,,58.000,0.43400,0.027200,-2.000,-0.07400,0.028700,OC,Oxidation catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.90,32.4,1,Not eqipped,9ADX10002091,MFR,No,,,,,11,Cold CO,19,Federal Cert Diesel 7-15 PPM Sulfur,FTP,0.0270000,0.1800000,547.0000000,,,,,18.6,MPG,15.5000000,18.8000000,21.3000000,,58.000,0.43400,0.027200,-2.000,-0.07400,0.028700,SCR,Selective Catalytic Reduction,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.90,32.4,1,Not eqipped,9ADX91000016,EPA,No,,,,,2,CVS 75 and later (w/o can. load),19,Federal Cert Diesel 7-15 PPM Sulfur,FTP,0.0431051,0.1774540,514.4384659,0.0335509,0.0021942,0.0415514,,19.8,MPG,17.5751624,19.6128322,22.1686467,,58.000,0.43400,0.027200,-2.000,-0.07400,0.028700,OC,Oxidation catalyst,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.90,32.4,1,Not eqipped,9ADX91000016,EPA,No,,,,,2,CVS 75 and later (w/o can. load),19,Federal Cert Diesel 7-15 PPM Sulfur,FTP,0.0431051,0.1774540,514.4384659,0.0335509,0.0021942,0.0415514,,19.8,MPG,17.5751624,19.6128322,22.1686467,,58.000,0.43400,0.027200,-2.000,-0.07400,0.028700,SCR,Selective Catalytic Reduction,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.90,32.4,1,Not eqipped,9ADX91000016,EPA,No,,,,,2,CVS 75 and later (w/o can. load),19,Federal Cert Diesel 7-15 PPM Sulfur,FTP,0.0431051,0.1774540,514.4384659,0.0335509,0.0021942,0.0415514,,19.8,MPG,17.5751624,19.6128322,22.1686467,,58.000,0.43400,0.027200,-2.000,-0.07400,0.028700,DPF,Diesel Particulate Filter,N,,,N,No averaging
2009,Audi,ADX,AUDI,Q7,EDV 93LD-TAQ,0,3.000,9ADXT03.03LD,Truck,225,6,CATA,A,Automatic,6,Y,A,All Wheel Drive,2,Top gear ration < 1,6000,3.90,32.4,1,Not eqipped,9ADX91000017,EPA,No,,,,,3,HWFE,19,Federal Cert Diesel 7-15 PPM Sulfur,HWY,0.0008671,0.0023995,306.0102034,0.0226385,0.0011439,0.0030437,,33.3,MPG,33.2525099,,,,58.000,0.43400,0.027200,-2.000,-0.07400,0.028700,OC,Oxidation catalyst,N,,,N,No averaging
