Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2017,aston martin,ASX,Aston Martin,Rapide S,410TT4202,0,6.000,FASXV06.0VHB,Car,552,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4750,2.73,22.4,1,Not eqipped,FASX10032202,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0269000,0.5000000,511.9300000,0.0090000,,0.0066000,,17.3,MPG,17.4380000,15.9560000,20.4130000,,99.990000,99.990000,99.990000,32.660,0.60850,0.019800,1.093,2.19800,0.028000,TWC,Three-way catalyst,N,,,N,No averaging
2017,aston martin,ASX,Aston Martin,Rapide S,410TT4202,0,6.000,FASXV06.0VHB,Car,552,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4750,2.73,22.4,1,Not eqipped,FASX10032203,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0008000,0.0600000,296.6300000,0.0010000,,,,29.9,MPG,,,,,99.990000,99.990000,99.990000,32.660,0.60850,0.019800,1.093,2.19800,0.028000,TWC,Three-way catalyst,N,,,N,No averaging
2017,aston martin,ASX,Aston Martin,V12 Vantage S,288TT2087,0,6.000,FASXV06.0VHB,Car,565,12,AM28/,SA,Semi-Automatic,7,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4250,3.73,33.6,2,"Equipped, not shifted by SIL",FASX10028338,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0248000,0.6100000,603.4900000,0.0110000,,0.0045000,0.0024000,14.8,MPG,14.3210000,13.6920000,17.9080000,,99.990000,99.990000,99.990000,43.240,0.63210,0.018100,17.420,0.40630,0.018600,TWC,Three-way catalyst,N,,,N,No averaging
2017,aston martin,ASX,Aston Martin,V12 Vantage S,288TT2087,0,6.000,FASXV06.0VHB,Car,565,12,AM28/,SA,Semi-Automatic,7,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4250,3.73,33.6,2,"Equipped, not shifted by SIL",FASX10028339,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0005000,0.0500000,353.0900000,0.0020000,,,,25.3,MPG,,,,,99.990000,99.990000,99.990000,43.240,0.63210,0.018100,17.420,0.40630,0.018600,TWC,Three-way catalyst,N,,,N,No averaging
2017,aston martin,ASX,Aston Martin,V12 Vantage S,298VP2156,0,6.000,HASXV06.0VHB,Car,568,12,AM28/,M,Manual,7,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4250,3.73,33.6,2,"Equipped, not shifted by SIL",HASX10040550,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0413000,0.6800000,720.4400000,0.0140000,,,,12.3,MPG,12.1170000,11.2220000,15.1040000,,-0.680000,-0.310000,0.230000,43.240,0.63210,0.018100,17.420,0.40630,0.018600,TWC,Three-way catalyst,N,,,N,No averaging
2017,aston martin,ASX,Aston Martin,V12 Vantage S,298VP2156,0,6.000,HASXV06.0VHB,Car,568,12,AM28/,M,Manual,7,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4250,3.73,33.6,2,"Equipped, not shifted by SIL",HASX10040551,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0,0.1600000,395.8200000,0.0030000,,,,22.4,MPG,,,,,1.580000,1.900000,0.460000,43.240,0.63210,0.018100,17.420,0.40630,0.018600,TWC,Three-way catalyst,N,,,N,No averaging
2017,aston martin,ASX,Aston Martin,Vanquish,314TT3175,0,6.000,FASXV06.0VHB,Car,568,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.73,23.2,1,Not eqipped,FASX10032317,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0293000,0.3350000,536.1800000,0.0141000,,0.0048000,,16.5,MPG,16.7780000,15.1950000,19.5190000,,99.990000,99.990000,99.990000,43.170,0.75020,0.016300,4.810,0.89400,0.014000,TWC,Three-way catalyst,N,,,N,No averaging
2017,aston martin,ASX,Aston Martin,Vanquish,314TT3175,0,6.000,FASXV06.0VHB,Car,568,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.73,23.2,1,Not eqipped,FASX10032318,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0005000,0.0375800,309.2200000,0.0017900,,,,28.7,MPG,,,,,99.990000,99.990000,99.990000,43.170,0.75020,0.016300,4.810,0.89400,0.014000,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,A4,D3UB-BMQ,1,1.984,DADXV02.03UB,Car,211,4,CAEB,M,Manual,6,N,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3875,3.69,31.2,2,"Equipped, not shifted by SIL",DADX10020120,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0100000,0.8400000,368.0000000,0.0160000,,,,24.1,MPG,,,,,,,,36.194,0.32916,0.017635,3.934,-0.04500,0.019497,TWC,Three-way catalyst,N,,,N,No averaging
2017,Audi,ADX,AUDI,A4,D3UB-BMQ,1,1.984,DADXV02.03UB,Car,211,4,CAEB,M,Manual,6,N,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3875,3.69,31.2,2,"Equipped, not shifted by SIL",DADX10020121,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.1815000,3.0200000,363.0000000,0.0340000,,0.0197000,,24.1,MPG,22.2000000,23.2000000,28.2000000,,,,,39.814,0.36208,0.019398,4.328,0.01939,0.021447,TWC,Three-way catalyst,N,,,N,No averaging
